geometry,address
POINT (139.636768 35.444991),"横浜市, 神奈川県, 231-0017, 日本 (Japan)"
POINT (-74.00601519999999 40.7127281),"New York, United States of America"
POINT (78.6677428 22.3511148),India
POINT (78.6677428 22.3511148),India
POINT (-73.9495823 40.6501038),"Brooklyn, Kings County, New York, United States of America"
POINT (42.3528328 25.6242618),السعودية
POINT (78.46106473453146 17.38878595),"Hyderabad, Telangana, India"
POINT (75.851601 30.9090157),"Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141001, India"
POINT (174.7631803 -36.852095),"Auckland, 1010, New Zealand"
POINT (78.6677428 22.3511148),India
POINT (-121.8905833 37.3361905),"San Jose, Santa Clara County, California, United States of America"
POINT (-4.8380649 39.3262345),España
POINT (71.247499 30.3308401),پاکستان
POINT (31.2718321 49.4871968),Україна
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America"
POINT (78.6677428 22.3511148),India
POINT (105.8544441 21.0294498),"Hà Nội, Việt Nam"
POINT (12.5755471 53.7735064),"Mecklenburg-Vorpommern, Marktplatz, Bahnhof, Teschower Siedlung, Teterow, Landkreis Rostock, Mecklenburg-Vorpommern, 17166, Deutschland"
POINT (19.8451756 45.2551338),"Нови Сад, Град Нови Сад, Јужнобачки управни округ, Војводина, 21000, Србија (Serbia)"
POINT (18.6452324 54.347629),"Gdańsk, Aglomeracja Trójmiasta, województwo pomorskie, Polska"
POINT (121.3163428 14.0609907),"Malaga, Teomora Village Phase 4, San Gabriel, San Pablo, Calabarzon, 4000, Philippines"
POINT (44.63344879670701 40.2803081),"Abovyan Border, Աբովյանի շրջան, Կոտայքի մարզ, Armenia"
POINT (7.9999721 9.6000359),Nigeria
POINT (144.9631608 -37.8142176),"Melbourne, City of Melbourne, Victoria, 3000, Australia"
POINT (3.3941795 6.4550575),"Lagos, Lagos Island, Lagos, 100242, Nigeria"
POINT (-3.2765753 54.7023545),United Kingdom
POINT (-17.447938 14.693425),"Dakar, 2084, Sénégal"
POINT (51.4013785 35.7006177),"شهر تهران, فرهنگسرای شفق, بخش مرکزی شهرستان تهران, شهرستان تهران, استان تهران, ایران"
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia"
POINT (17.7578122 11.5024338),Africa
